Name,month1,months3,months6,months9,months12
RELIANCE.NS,4.158383022,3.191584869,4.757493767,4.768255282,4.768330158
HDFCBANK.NS,0.923200665,26.56828024,32.07446271,32.76792048,32.84863168
INFY.NS,6.066488895,13.08106981,12.5673564,12.55009539,12.54950138
HDFC.NS,-7.797061728,3.862015507,2.313877471,2.305850623,2.305808287
TCS.NS,8.034705721,25.82632245,31.0381477,31.49907184,31.53448615
ICICIBANK.NS,-3.527946933,9.900090959,8.120373433,8.08161199,8.08074256
KOTAKBANK.NS,-4.160763653,6.91924898,4.379527723,4.373274417,4.373263395
HINDUNILVR.NS,-4.363119636,-1.805957739,-1.604042274,-1.603001835,-1.602995354
ITC.BO,-13.07887885,-15.25858615,-15.58758983,-15.59164107,-15.5916915
BHARTIARTL.NS,-16.8274661,-21.0200002,-22.11663933,-22.12303082,-22.12306625
